file,cut,rmsd
carA_A0A1X2DGR4.pdb,620,2.721
carA_A0A653EJG9.pdb,620,2.721
carA_A0AA91EXD2.pdb,622,2.724
carA_A0A1X1RGM6.pdb,615,2.725
carA_A0A6S6P6D8.pdb,627,2.727
carA_A0A1W9ZC84.pdb,617,2.732
carA_A0A7X5R533.pdb,614,2.733
carA_A0A5B1BH70.pdb,628,2.734
carA_A0A653FAQ0.pdb,622,2.734
carA_A0A7I7Q331.pdb,634,2.737
carA_A0A051UFG9.pdb,640,2.744
carA_A0A1A3P195.pdb,621,2.745
carA_A0A1Q4HPF1.pdb,621,2.748
carA_A0A1A2UBP1.pdb,621,2.751
carA_A0A7W7VZ67.pdb,633,2.761
carA_A0A0N9XFV2.pdb,617,2.762
carA_A0A1X2LPX9.pdb,621,2.767
carA_A0A401YDY7.pdb,625,2.779
carA_A8M8D3.pdb,618,2.779
carA_A0A4Z0LXD8.pdb,641,2.779
carA_A0A5J4LNN8.pdb,634,2.781
carA_A0A6G3SLA6.pdb,602,2.786
carA_A0A0H3MU55.pdb,639,2.787
carA_A0A1X0ED97.pdb,627,2.787
carA_W9AKH0.pdb,622,2.788
carA_A0A5N5VEC4.pdb,613,2.793
carA_H6R914.pdb,616,2.797
carA_A0A1X1TAZ5.pdb,614,2.805
carA_J7U6E9.pdb,640,2.808
carA_A0A0L0JLL3.pdb,603,2.834
carA_A0A143QSN8.pdb,636,2.845
carA_K0VFF7.pdb,621,2.849
carA_A0AAD1I1H5.pdb,627,2.864
carA_A0A4U8W070.pdb,617,2.865
carA_A0AB73U621.pdb,627,2.871
carA_A0A1S1LPM2.pdb,639,2.893
carA_A0A1X1YTK3.pdb,623,2.893
carA_A0A5Q5BJ80.pdb,623,2.912
carA_A0A829QG83.pdb,632,2.932
carA_A0A1X1YHA8.pdb,623,2.943
carA_A0A1A0MY20.pdb,625,2.954
carA_A0PPD8.pdb,624,2.969
carA_I7GER2.pdb,652,2.973
carA_A0A1A3KI76.pdb,620,2.995
carA_A0A7I9YMY6.pdb,620,2.996
carA_W5WC87.pdb,637,3.021
carA_A0A542XQI9.pdb,624,3.033
carA_A0A378YSF8.pdb,612,3.04
carA_A0A8J4A7U7.pdb,629,3.043
carA_A0A0B8NM02.pdb,631,3.054
carA_A0A8H2PI19.pdb,625,3.063
carA_A0A516NPD0.pdb,612,3.076
carA_A0A1G7L4S3.pdb,632,3.102
carA_A0A2N8P9Q2.pdb,632,3.102
carA_A0A0U1D4T9.pdb,639,3.115
carA_A0A1X0D333.pdb,626,3.124
carA_A0A7I7RUI0.pdb,635,3.146
carA_I7C367.pdb,602,3.147
carA_A0AAP6BDL8.pdb,620,3.217
carA_A0A0K0X557.pdb,630,3.261
carA_A0A7V8RXZ7.pdb,639,3.278
carA_A0A1S1KYS6.pdb,639,3.307
carA_A0A2U9PXP1.pdb,632,3.362
carA_A0A7W6BWA9.pdb,601,3.37
carA_A0A179V451.pdb,639,3.391
carA_A0A1H7CJ42.pdb,641,3.406
carA_D5PAD3.pdb,640,3.42
carA_A0A653FCI4.pdb,632,3.476
carA_A0A3S3ZSH2.pdb,621,3.482
carA_A0A1T5FEL0.pdb,602,3.627
carA_A0A1X1ZUN6.pdb,630,3.716
carA_A0A6J5A950.pdb,639,3.732
