file,entry,rmsd
A0A401VU81.pdb,A0A401VU81,0.958
A0A8J4A7U7.pdb,A0A8J4A7U7,0.958
A0A1A2VM45.pdb,A0A1A2VM45,0.959
A0A1X0XWA4.pdb,A0A1X0XWA4,0.959
A0ABX3BV79.pdb,A0ABX3BV79,0.96
A0A4Q7KNW3.pdb,A0A4Q7KNW3,0.961
A0A163Z098.pdb,A0A163Z098,0.962
A0A7I9YZ18.pdb,A0A7I9YZ18,0.962
A0A2K4Y436.pdb,A0A2K4Y436,0.963
A0A7I7YUU0.pdb,A0A7I7YUU0,0.963
K0VFF7.pdb,K0VFF7,0.964
A0A1S1M9C0.pdb,A0A1S1M9C0,0.964
A0A1S1LF81.pdb,A0A1S1LF81,0.964
A0ABY3USZ0.pdb,A0ABY3USZ0,0.965
A0ABX3BV59.pdb,A0ABX3BV59,0.966
A0A1X1ZAJ3.pdb,A0A1X1ZAJ3,0.966
A0A1X1V443.pdb,A0A1X1V443,0.967
A0A9Y2N0A1.pdb,A0A9Y2N0A1,0.967
A0A1X1U6G3.pdb,A0A1X1U6G3,0.968
A0A3S3ZSH2.pdb,A0A3S3ZSH2,0.968
A0A1X1TXE9.pdb,A0A1X1TXE9,0.968
A0A1W9ZU79.pdb,A0A1W9ZU79,0.968
A0A2A3LDA8.pdb,A0A2A3LDA8,0.969
A0A0H2ZUI5.pdb,A0A0H2ZUI5,0.969
A0ABX3VJI1.pdb,A0ABX3VJI1,0.969
A0A1X0DT32.pdb,A0A1X0DT32,0.97
A0ABT6PWS8.pdb,A0ABT6PWS8,0.97
A0A1A3U7T4.pdb,A0A1A3U7T4,0.97
A0A7G8PBZ5.pdb,A0A7G8PBZ5,0.971
A0ABT4PYE8.pdb,A0ABT4PYE8,0.972
A0ABZ1HYA1.pdb,A0ABZ1HYA1,0.974
A0AA91EXD2.pdb,A0AA91EXD2,0.975
A0AB73MHS4.pdb,A0AB73MHS4,0.975
A0AB73U621.pdb,A0AB73U621,0.975
A0A1A0VEQ6.pdb,A0A1A0VEQ6,0.976
A0A543EXG0.pdb,A0A543EXG0,0.976
A0ABY2G9V5.pdb,A0ABY2G9V5,0.976
L7V833.pdb,L7V833,0.977
A0A010YLP6.pdb,A0A010YLP6,0.978
A0A9X2E3I2.pdb,A0A9X2E3I2,0.979
A0A1Q4HNQ9.pdb,A0A1Q4HNQ9,0.98
A0ABN5ZWQ7.pdb,A0ABN5ZWQ7,0.98
A0ABW0AKB8.pdb,A0ABW0AKB8,0.98
A0A561TWL9.pdb,A0A561TWL9,0.98
A0A329KGE0.pdb,A0A329KGE0,0.981
A0A7I7P449.pdb,A0A7I7P449,0.981
A0A829QF13.pdb,A0A829QF13,0.982
A0AB38USB2.pdb,A0AB38USB2,0.982
A0A1X2DIF1.pdb,A0A1X2DIF1,0.984
A0A317N4Q8.pdb,A0A317N4Q8,0.985
A0A544W0X3.pdb,A0A544W0X3,0.985
A0A4R8S7U6.pdb,A0A4R8S7U6,0.986
A0A498PZU2.pdb,A0A498PZU2,0.986
A0ABQ2KKB0.pdb,A0ABQ2KKB0,0.986
A0A386ZPG1.pdb,A0A386ZPG1,0.986
A0A0E4CLA0.pdb,A0A0E4CLA0,0.986
A0A285LZS8.pdb,A0A285LZS8,0.986
A0ABV3F2R5.pdb,A0ABV3F2R5,0.986
A0ABU6ARK2.pdb,A0ABU6ARK2,0.987
A0A829PY25.pdb,A0A829PY25,0.987
A0A0I9Z3I8.pdb,A0A0I9Z3I8,0.988
A0A5B1BH70.pdb,A0A5B1BH70,0.988
A0A7I7LJC3.pdb,A0A7I7LJC3,0.989
A0ABS4QNX2.pdb,A0ABS4QNX2,0.989
A0A7U9Q384.pdb,A0A7U9Q384,0.99
A0A1D7VWY6.pdb,A0A1D7VWY6,0.99
A0ABY9HWL0.pdb,A0ABY9HWL0,0.991
A0ABV4C2Z2.pdb,A0ABV4C2Z2,0.992
A0A1X1U567.pdb,A0A1X1U567,0.992
A0ACD1FAN4.pdb,A0ACD1FAN4,0.992
A0A1S1KYS6.pdb,A0A1S1KYS6,0.992
A0A6S6P6D8.pdb,A0A6S6P6D8,0.992
A0A1A3TXF6.pdb,A0A1A3TXF6,0.993
X8DPU6.pdb,X8DPU6,0.994
A0ABY4QIH6.pdb,A0ABY4QIH6,0.994
A0A0Q2M080.pdb,A0A0Q2M080,0.995
A0ABV2XGH3.pdb,A0ABV2XGH3,0.995
A0A9X2E3D3.pdb,A0A9X2E3D3,0.995
A0A1W9ZN90.pdb,A0A1W9ZN90,0.996
A0A7Z0IKF1.pdb,A0A7Z0IKF1,0.996
A0A1Y2NRV5.pdb,A0A1Y2NRV5,0.996
A0A1V3WG34.pdb,A0A1V3WG34,0.996
A0ABU4BCL6.pdb,A0ABU4BCL6,0.997
A0A0B1ZIQ0.pdb,A0A0B1ZIQ0,0.997
A0A4R8SET2.pdb,A0A4R8SET2,0.997
A0A1A0MX32.pdb,A0A1A0MX32,0.999
A0A7K0DM07.pdb,A0A7K0DM07,0.999
A0A1A3H185.pdb,A0A1A3H185,0.999
A0ABW6PLC4.pdb,A0ABW6PLC4,1.001
A0A1A2SD60.pdb,A0A1A2SD60,1.002
A0PPD8.pdb,A0PPD8,1.003
A0A1A3KPW7.pdb,A0A1A3KPW7,1.003
A0ABV9EQP6.pdb,A0ABV9EQP6,1.003
D6Z860.pdb,D6Z860,1.003
A0A1E8Q6I1.pdb,A0A1E8Q6I1,1.004
A0A4Z0HSE6.pdb,A0A4Z0HSE6,1.004
A0A927MND6.pdb,A0A927MND6,1.005
A0A6J5A950.pdb,A0A6J5A950,1.006
A0ABM7SN96.pdb,A0ABM7SN96,1.007
A0A1I0U7E5.pdb,A0A1I0U7E5,1.008
A0A1X0AYB7.pdb,A0A1X0AYB7,1.008
A0A1S1LPM2.pdb,A0A1S1LPM2,1.008
A0A7X6M5C6.pdb,A0A7X6M5C6,1.008
A0ABS6KMF6.pdb,A0ABS6KMF6,1.008
A0A0H5BB76.pdb,A0A0H5BB76,1.009
A0ABT2MBH6.pdb,A0ABT2MBH6,1.009
A0AAE4UD82.pdb,A0AAE4UD82,1.009
A0A4R7IZC0.pdb,A0A4R7IZC0,1.01
A0A1A3N5H1.pdb,A0A1A3N5H1,1.01
E3J9G9.pdb,E3J9G9,1.011
A0ABT3CH10.pdb,A0ABT3CH10,1.011
A0A5C7XWH5.pdb,A0A5C7XWH5,1.011
A0A164L8S1.pdb,A0A164L8S1,1.012
A0ABS7P1E6.pdb,A0ABS7P1E6,1.012
H8ITF4.pdb,H8ITF4,1.014
A0A1Z4EBS9.pdb,A0A1Z4EBS9,1.014
A0AA37PNY0.pdb,A0AA37PNY0,1.014
A0A1D8GAR9.pdb,A0A1D8GAR9,1.014
A0A0U1D4T9.pdb,A0A0U1D4T9,1.015
A0A1V2IEY4.pdb,A0A1V2IEY4,1.015
A0A853LXB5.pdb,A0A853LXB5,1.015
A0A4Q9HZT3.pdb,A0A4Q9HZT3,1.016
A0A7I7YXB1.pdb,A0A7I7YXB1,1.017
L7V8G3.pdb,L7V8G3,1.017
X8A9W7.pdb,X8A9W7,1.018
A0A421AW77.pdb,A0A421AW77,1.018
A0ABM7JWD3.pdb,A0ABM7JWD3,1.02
A0A291RHD9.pdb,A0A291RHD9,1.02
A0A1S1M3C1.pdb,A0A1S1M3C1,1.022
A0A0U0ZPX5.pdb,A0A0U0ZPX5,1.022
A0ABT0DZ76.pdb,A0ABT0DZ76,1.023
A0A7V8LNU0.pdb,A0A7V8LNU0,1.024
A0A1E3S0K4.pdb,A0A1E3S0K4,1.025
A0ABT5G3U5.pdb,A0ABT5G3U5,1.026
A0A179VA95.pdb,A0A179VA95,1.026
A0A1E5P3C7.pdb,A0A1E5P3C7,1.026
A0A318JYA7.pdb,A0A318JYA7,1.026
A0A927JBF8.pdb,A0A927JBF8,1.027
U5ELY0.pdb,U5ELY0,1.028
A0A3E1HFK0.pdb,A0A3E1HFK0,1.028
A0ABN6U5V0.pdb,A0ABN6U5V0,1.028
A0ABT6MJ18.pdb,A0ABT6MJ18,1.029
W5WC87.pdb,W5WC87,1.029
A0ABN6AMT8.pdb,A0ABN6AMT8,1.03
A0A7U5RXC1.pdb,A0A7U5RXC1,1.03
A0ABR4ZEC0.pdb,A0ABR4ZEC0,1.031
A0ABW7R617.pdb,A0ABW7R617,1.032
A0A6G9YNU3.pdb,A0A6G9YNU3,1.032
A0ABU4B4H7.pdb,A0ABU4B4H7,1.033
J9WML3.pdb,J9WML3,1.033
A0ABX8CHF2.pdb,A0ABX8CHF2,1.033
J7U6E9.pdb,J7U6E9,1.033
K0EY54.pdb,K0EY54,1.035
A0ABU4D5Q4.pdb,A0ABU4D5Q4,1.035
A0A502EC16.pdb,A0A502EC16,1.036
A0A7I9ZCH7.pdb,A0A7I9ZCH7,1.036
A0ABU2T218.pdb,A0ABU2T218,1.038
A0A1B4Y4X4.pdb,A0A1B4Y4X4,1.038
H6R914.pdb,H6R914,1.04
A0A1A2Z8H6.pdb,A0A1A2Z8H6,1.04
A0ABU9CVT7.pdb,A0ABU9CVT7,1.04
A0A6G9Z057.pdb,A0A6G9Z057,1.041
A0ABD7HN08.pdb,A0ABD7HN08,1.041
A0ABM7SIW3.pdb,A0ABM7SIW3,1.041
A0A318JQK2.pdb,A0A318JQK2,1.042
A0A7I9ZAR1.pdb,A0A7I9ZAR1,1.043
A0A1T5FEL0.pdb,A0A1T5FEL0,1.043
A0A3Q9KMK0.pdb,A0A3Q9KMK0,1.046
A0AB73LE91.pdb,A0AB73LE91,1.046
A0AB73U2P7.pdb,A0AB73U2P7,1.046
A0A438ATK5.pdb,A0A438ATK5,1.048
A0A3E2MQN5.pdb,A0A3E2MQN5,1.051
A0ABX3C6K0.pdb,A0ABX3C6K0,1.051
A0A975JWU9.pdb,A0A975JWU9,1.051
A0A9X8QZ54.pdb,A0A9X8QZ54,1.051
A0AAD1I1H5.pdb,A0AAD1I1H5,1.051
A0ABT4MHH0.pdb,A0ABT4MHH0,1.053
A0A1X1TAZ5.pdb,A0A1X1TAZ5,1.054
B2HN69.pdb,B2HN69,1.054
A0A1A3N7A1.pdb,A0A1A3N7A1,1.054
A0A1A2EVY2.pdb,A0A1A2EVY2,1.054
A0ABT1GWJ1.pdb,A0ABT1GWJ1,1.054
A0A4V3HUY3.pdb,A0A4V3HUY3,1.055
A0A051UFG9.pdb,A0A051UFG9,1.056
A0A5R8PAY8.pdb,A0A5R8PAY8,1.056
A0ABW1JN02.pdb,A0ABW1JN02,1.056
A0AB33ADN5.pdb,A0AB33ADN5,1.056
A0A0D1LMF4.pdb,A0A0D1LMF4,1.057
A0A829HTG5.pdb,A0A829HTG5,1.057
A0A2U9PXP1.pdb,A0A2U9PXP1,1.059
A0A1Z4F080.pdb,A0A1Z4F080,1.06
A0A846XYC4.pdb,A0A846XYC4,1.062
A0ABZ1N1W0.pdb,A0ABZ1N1W0,1.063
A0A378TAR8.pdb,A0A378TAR8,1.063
A0A1A2STK0.pdb,A0A1A2STK0,1.065
A0A511M4D4.pdb,A0A511M4D4,1.065
A0A7I7QL20.pdb,A0A7I7QL20,1.065
A0A7I7VZ71.pdb,A0A7I7VZ71,1.066
A0A4R8S1L2.pdb,A0A4R8S1L2,1.066
I7GER2.pdb,I7GER2,1.067
A0A1X0J866.pdb,A0A1X0J866,1.068
A0AB33TD28.pdb,A0AB33TD28,1.068
A0A9N7QNJ2.pdb,A0A9N7QNJ2,1.068
A0ABP8RAE2.pdb,A0ABP8RAE2,1.068
A0A1H7CJ42.pdb,A0A1H7CJ42,1.069
A0ABZ2PCG2.pdb,A0ABZ2PCG2,1.069
A0A426SF14.pdb,A0A426SF14,1.069
A0A1X2DPB1.pdb,A0A1X2DPB1,1.07
A0A7W8BW88.pdb,A0A7W8BW88,1.07
A0A846MH08.pdb,A0A846MH08,1.071
A0A1S1LZ61.pdb,A0A1S1LZ61,1.072
A0A2K4YB08.pdb,A0A2K4YB08,1.072
A0ABN5YF31.pdb,A0ABN5YF31,1.074
A0A4R1FWD7.pdb,A0A4R1FWD7,1.074
A0A829Q102.pdb,A0A829Q102,1.075
A0A829PSZ5.pdb,A0A829PSZ5,1.075
A0AB74F9U6.pdb,A0AB74F9U6,1.075
A0A7I7X9D1.pdb,A0A7I7X9D1,1.076
A0ABW7WFK0.pdb,A0ABW7WFK0,1.076
A0A7G8PH04.pdb,A0A7G8PH04,1.077
A0A5J4LNN8.pdb,A0A5J4LNN8,1.077
A0ABS6B8N5.pdb,A0ABS6B8N5,1.077
A0A7X6R1D2.pdb,A0A7X6R1D2,1.078
A0A9Q7WGW0.pdb,A0A9Q7WGW0,1.078
A0A1Y0C436.pdb,A0A1Y0C436,1.078
A0A5J5JW77.pdb,A0A5J5JW77,1.078
A0ABW9HJC1.pdb,A0ABW9HJC1,1.078
A0A0L0JTI1.pdb,A0A0L0JTI1,1.079
A0A1G6K7R0.pdb,A0A1G6K7R0,1.079
A0A6N4VDZ9.pdb,A0A6N4VDZ9,1.08
A0A1A2YYV5.pdb,A0A1A2YYV5,1.08
A0AAP6BDL8.pdb,A0AAP6BDL8,1.08
A0AAI8U017.pdb,A0AAI8U017,1.081
A0A1A2P0A6.pdb,A0A1A2P0A6,1.082
A0A1J0VT15.pdb,A0A1J0VT15,1.082
A0A2A9FBQ2.pdb,A0A2A9FBQ2,1.082
E5XUS9.pdb,E5XUS9,1.084
L7KHK1.pdb,L7KHK1,1.084
A0ABW6S9H6.pdb,A0ABW6S9H6,1.085
A0A653FCI4.pdb,A0A653FCI4,1.085
A0ABP7F641.pdb,A0ABP7F641,1.086
A0A1A2YVQ7.pdb,A0A1A2YVQ7,1.087
A0A3M2LDY9.pdb,A0A3M2LDY9,1.089
A0A1T5FV39.pdb,A0A1T5FV39,1.089
A0A1X0D333.pdb,A0A1X0D333,1.09
A0ABN0UZZ3.pdb,A0ABN0UZZ3,1.09
A0ACD2ERW5.pdb,A0ACD2ERW5,1.09
A0A542DCL6.pdb,A0A542DCL6,1.09
A0ABQ4FMS5.pdb,A0ABQ4FMS5,1.09
A0ABS7NQE0.pdb,A0ABS7NQE0,1.091
A0ABU2UT33.pdb,A0ABU2UT33,1.093
A0A1T7HTT5.pdb,A0A1T7HTT5,1.093
A0A124DZH3.pdb,A0A124DZH3,1.093
X8DWH6.pdb,X8DWH6,1.093
A0A2N8P9Q2.pdb,A0A2N8P9Q2,1.094
A0A1A3BEU1.pdb,A0A1A3BEU1,1.094
A0A4R5PF75.pdb,A0A4R5PF75,1.095
A0ABW2P8T1.pdb,A0ABW2P8T1,1.096
A0A1G4V447.pdb,A0A1G4V447,1.097
A0A917FVC2.pdb,A0A917FVC2,1.098
W9B0J1.pdb,W9B0J1,1.099
A0A8J3FU84.pdb,A0A8J3FU84,1.1
A0ABY4M3X2.pdb,A0ABY4M3X2,1.101
A0A100WL29.pdb,A0A100WL29,1.101
A0ABX8REM5.pdb,A0ABX8REM5,1.101
D5PAD3.pdb,D5PAD3,1.102
A0A117I9Z0.pdb,A0A117I9Z0,1.103
A0A9Y2IBK6.pdb,A0A9Y2IBK6,1.104
A0ABS6B561.pdb,A0ABS6B561,1.105
A0AA94UBA0.pdb,A0AA94UBA0,1.105
A0A640UJM0.pdb,A0A640UJM0,1.107
A0ABZ1F9Z2.pdb,A0ABZ1F9Z2,1.107
A0A370I008.pdb,A0A370I008,1.108
A0A6P1D575.pdb,A0A6P1D575,1.108
A0ABX8QPS0.pdb,A0ABX8QPS0,1.109
A0ABS7R0Q3.pdb,A0ABS7R0Q3,1.109
A0A849CGR7.pdb,A0A849CGR7,1.111
A0A7X5TUU1.pdb,A0A7X5TUU1,1.112
A0A1X0A2U5.pdb,A0A1X0A2U5,1.112
A0A937RSP3.pdb,A0A937RSP3,1.112
A0A5N0UWA7.pdb,A0A5N0UWA7,1.112
A0A7I9WQZ1.pdb,A0A7I9WQZ1,1.113
A0A7I7RRZ6.pdb,A0A7I7RRZ6,1.114
A0ABN2Q9Z6.pdb,A0ABN2Q9Z6,1.115
A0ABN3KZK6.pdb,A0ABN3KZK6,1.115
A0A3A4K4S5.pdb,A0A3A4K4S5,1.117
A0A6G3SLA6.pdb,A0A6G3SLA6,1.117
A0A1X1SSG1.pdb,A0A1X1SSG1,1.117
A0A6G4AHJ1.pdb,A0A6G4AHJ1,1.118
A0A449GAD2.pdb,A0A449GAD2,1.119
A0AAJ1W4G5.pdb,A0AAJ1W4G5,1.12
A0A6P1CTQ2.pdb,A0A6P1CTQ2,1.121
A0ABZ1YUC5.pdb,A0ABZ1YUC5,1.121
A0A370I000.pdb,A0A370I000,1.122
E5XP76.pdb,E5XP76,1.123
A0A0H5RMP7.pdb,A0A0H5RMP7,1.124
A0A5R8NPV3.pdb,A0A5R8NPV3,1.126
A0ABV8VFU1.pdb,A0ABV8VFU1,1.126
A0A542XQI9.pdb,A0A542XQI9,1.128
A0A6N4W3I8.pdb,A0A6N4W3I8,1.13
A0ABN6IL17.pdb,A0ABN6IL17,1.13
A0A0L0JLL3.pdb,A0A0L0JLL3,1.133
A0A2U3P697.pdb,A0A2U3P697,1.135
A0A848KDK6.pdb,A0A848KDK6,1.136
A0ABQ1CET0.pdb,A0ABQ1CET0,1.136
A0A1W9Z9K2.pdb,A0A1W9Z9K2,1.139
A0ABT3S7W5.pdb,A0ABT3S7W5,1.139
A8M8D3.pdb,A8M8D3,1.14
A0A7I9Z5A6.pdb,A0A7I9Z5A6,1.141
A0A1H8UHI3.pdb,A0A1H8UHI3,1.142
A0A1X1RGM6.pdb,A0A1X1RGM6,1.143
W9AKH0.pdb,W9AKH0,1.144
A0A1S1NIB3.pdb,A0A1S1NIB3,1.144
A0A7W9NKR9.pdb,A0A7W9NKR9,1.145
A0ACC6MKA3.pdb,A0ACC6MKA3,1.147
A0A1A2SQA4.pdb,A0A1A2SQA4,1.148
A0ABQ3MHH6.pdb,A0ABQ3MHH6,1.148
A0ABP9K210.pdb,A0ABP9K210,1.153
A0A318K9K9.pdb,A0A318K9K9,1.154
A0ABX4V4X1.pdb,A0ABX4V4X1,1.154
A0AA37PJQ2.pdb,A0AA37PJQ2,1.156
A0A4U8W070.pdb,A0A4U8W070,1.16
A0A401YDY7.pdb,A0A401YDY7,1.162
A0A4Z0HM23.pdb,A0A4Z0HM23,1.163
A0ABP6W264.pdb,A0ABP6W264,1.164
A0A7K3R588.pdb,A0A7K3R588,1.165
A0A2G5PCS5.pdb,A0A2G5PCS5,1.169
A0A117I9B3.pdb,A0A117I9B3,1.171
A0AA37PJ36.pdb,A0AA37PJ36,1.171
A0A345I2A9.pdb,A0A345I2A9,1.172
A0AAX1JEG7.pdb,A0AAX1JEG7,1.176
A0AAX3A495.pdb,A0AAX3A495,1.178
A0A7H1Q5K4.pdb,A0A7H1Q5K4,1.178
A0A1T3NLC9.pdb,A0A1T3NLC9,1.18
H5U1W4.pdb,H5U1W4,1.18
A0A1G7L4S3.pdb,A0A1G7L4S3,1.181
A0A1A0VZR1.pdb,A0A1A0VZR1,1.184
A0A840Q103.pdb,A0A840Q103,1.192
A0A7D6ZHA2.pdb,A0A7D6ZHA2,1.192
A0ABY9WDG4.pdb,A0ABY9WDG4,1.194
A0A1X1TX55.pdb,A0A1X1TX55,1.194
A0AAC9VV50.pdb,A0AAC9VV50,1.194
A0A853LX37.pdb,A0A853LX37,1.198
A0A1X0XYW4.pdb,A0A1X0XYW4,1.199
A0A1X1ZUN6.pdb,A0A1X1ZUN6,1.2
A0A1I6TMF1.pdb,A0A1I6TMF1,1.203
A0A1S1L5R7.pdb,A0A1S1L5R7,1.203
A0ABW6R4U0.pdb,A0ABW6R4U0,1.207
A0A6G9XT36.pdb,A0A6G9XT36,1.21
D6ZDT1.pdb,D6ZDT1,1.211
A0ABM7J8Q1.pdb,A0ABM7J8Q1,1.212
A0A0H5NNV9.pdb,A0A0H5NNV9,1.213
A0A7H0I6F1.pdb,A0A7H0I6F1,1.218
A0ABY3UYZ5.pdb,A0ABY3UYZ5,1.22
A0A5N0EJT8.pdb,A0A5N0EJT8,1.221
A0ABS8Z8Y9.pdb,A0ABS8Z8Y9,1.223
A0ABS6HLI0.pdb,A0ABS6HLI0,1.224
A0A1A2Z2J8.pdb,A0A1A2Z2J8,1.225
V5XIA1.pdb,V5XIA1,1.229
A0A1Y5Y6P3.pdb,A0A1Y5Y6P3,1.23
A0ABY7PX64.pdb,A0ABY7PX64,1.243
A0A7I7S1X3.pdb,A0A7I7S1X3,1.245
A0ABX0CLH8.pdb,A0ABX0CLH8,1.248
Q5YY80.pdb,Q5YY80,1.248
A0A4R6P566.pdb,A0A4R6P566,1.249
A0ABN1UVC2.pdb,A0ABN1UVC2,1.25
A0ABV3VAG8.pdb,A0ABV3VAG8,1.252
I7C367.pdb,I7C367,1.253
A0ABR6BBF3.pdb,A0ABR6BBF3,1.254
A0A291RWF7.pdb,A0A291RWF7,1.256
A0ABW6RV11.pdb,A0ABW6RV11,1.258
A0A846VZQ1.pdb,A0A846VZQ1,1.26
A0ABR5ICW2.pdb,A0ABR5ICW2,1.27
A0A7W6BWA9.pdb,A0A7W6BWA9,1.272
A0A024JZE3.pdb,A0A024JZE3,1.275
A0A024JZE8.pdb,A0A024JZE8,1.291
A0A934NT38.pdb,A0A934NT38,1.295
A0ABU7WS89.pdb,A0ABU7WS89,1.3
A0A1Y0C5T9.pdb,A0A1Y0C5T9,1.301
A0AAU4K3W1.pdb,A0AAU4K3W1,1.307
Q6RKB1.pdb,Q6RKB1,1.312
A0ABV6MMA8.pdb,A0ABV6MMA8,1.318
A0A0U1Z2H3.pdb,A0A0U1Z2H3,1.332
A0A7W7VZ67.pdb,A0A7W7VZ67,1.34
A0A6G9ZF28.pdb,A0A6G9ZF28,1.352
A0A1E3SV84.pdb,A0A1E3SV84,1.378
A0A2K4YB80.pdb,A0A2K4YB80,1.387
A0ABX8REJ1.pdb,A0ABX8REJ1,1.419
